id,long,lat,streets
1,106.636137946531,10.8027874729889,"[52, 21]"
2,106.635414956844,10.8025041096741,[52]
3,106.633984993906,10.8019373830444,[52]
4,106.631783891969,10.798442568828,"[52, 55, 58]"
5,106.629414092438,10.7947982050797,"[52, 59, 60]"
6,106.628401906875,10.7928382236824,"[52, 61]"
7,106.629815753375,10.799229689147,[55]
8,106.627502186375,10.8003631424064,[55]
9,106.633037074094,10.7976397061026,[58]
10,106.632386383375,10.7938851213766,"[58, 59]"
11,106.6308118725,10.7941212637136,[59]
12,106.634266156563,10.7935860077497,[59]
13,106.637849022125,10.7930035233183,"[59, 62]"
14,106.627935980188,10.7956325746706,[60]
15,106.626923794625,10.7956955459605,[60]
16,106.623822972188,10.7958057457178,"[57, 60]"
17,106.622714388,10.7957427744279,[60]
18,106.620143808,10.7956168318481,[60]
19,106.623967570125,10.7992060755374,[57]
20,106.62457809475,10.8013155579924,[57]
21,106.619035223813,10.7957112887829,[60]
22,106.616753789688,10.795915945475,[60]
23,106.61442415625,10.7950500902393,[60]
24,106.626931827844,10.7930979802531,[61]
25,106.625542081,10.7933105083564,[61]
26,106.628980298625,10.7927752523925,[61]
27,106.631117134812,10.7924446531207,[61]
28,106.633993027125,10.7920038540915,[61]
29,106.637591959125,10.7914528553051,"[61, 62]"
30,106.638290849156,10.7955066320908,"[62, 66]"
31,106.637358995781,10.7901225868065,"[62, 64]"
32,106.636748471156,10.7863835473994,"[62, 63]"
33,106.63601744825,10.7815897312587,"[62, 67]"
34,106.635864817094,10.7804168649098,[62]
35,106.634129591844,10.7765675667822,[62]
36,106.633519067219,10.7757646457004,[62]
37,106.631783891969,10.7701440998613,"[62, 77]"
38,106.632346217281,10.7639487869626,[62]
39,106.634209924031,10.7588239903606,[62]
40,106.637567859469,10.7545335352288,"[62, 33]"
41,106.633462834688,10.7876036483877,[63]
42,106.630394145125,10.787981486113,[63]
43,106.627646784313,10.7875091889563,[63]
44,106.62277865375,10.7884222967926,"[63, 102]"
45,106.633784163438,10.7907050712379,[64]
46,106.630956470438,10.7911773559119,[64]
47,106.629751487625,10.791413498249,[64]
48,106.643440142375,10.7866511824549,"[65, 68]"
49,106.646107171,10.7879106415395,[65]
50,106.641624634938,10.7858876353849,"[66, 67]"
51,106.643327677312,10.7813063755201,[66]
52,106.640194722,10.7900202584605,[66]
53,106.639311067937,10.7926807954577,[66]
54,106.644532660125,10.7795903285021,[66]
55,106.645994705937,10.7774334620666,[66]
56,106.648019077063,10.7747413149098,"[66, 69]"
57,106.640226854875,10.7848092235437,[67]
58,106.634185824375,10.780621531068,"[67, 101]"
59,106.628610770563,10.7775357951456,[67]
60,106.621445189438,10.7735999005548,"[67, 77]"
61,106.642042362312,10.7848800681172,"[68, 66]"
62,106.6436650725,10.7854153382282,[68]
63,106.643070614313,10.7880759455444,[68]
64,106.642877817062,10.7893197028606,[68]
65,106.645834041562,10.7968604569868,"[68, 21]"
66,106.646099137781,10.7720255038835,[69]
67,106.644492494031,10.7697583726768,[69]
68,106.642355657844,10.7667512750347,"[69, 76, 77]"
69,106.649762235531,10.7771107192788,[69]
70,106.649890767031,10.7794250212205,[69]
71,106.650163896469,10.7821092581311,[69]
72,106.651015417656,10.7845966898232,"[69, 65]"
73,106.652450150525,10.7901619438627,"[69, 47]"
74,106.642259259219,10.7628466801664,"[69, 74]"
75,106.641568402406,10.7589263288488,[69]
76,106.637599992344,10.7586271829404,[69]
79,106.635390857188,10.7575880262136,"[69, 62, 103]"
80,106.629598856469,10.8231887713592,"[21, 70]"
81,106.630675307781,10.8204183092233,[21]
82,106.632820177188,10.813641559414,[21]
83,106.634651751063,10.807533768568,"[21, 22]"
84,106.635776451688,10.8037713733877,[21]
85,106.63666010575,10.8018586710125,"[21, 66]"
86,106.641174774687,10.7993713708044,[21]
87,106.644050667,10.7978443573856,[21]
88,106.646926559313,10.7962701589806,"[21, 72]"
89,106.648501020187,10.7954200465673,[21]
90,106.650163896469,10.794569934154,[21]
91,106.653361117531,10.7928067380374,"[21, 47, 23, 46]"
92,106.630803839281,10.8255342194175,[70]
93,106.640122423031,10.844297018724,[70]
94,106.634916847281,10.8344593117198,[70]
95,106.635913016406,10.8364426058946,[70]
96,106.636049581125,10.8062744093447,"[22, 73]"
97,106.637591959125,10.8041649826456,[22]
98,106.638732676188,10.8028110865985,[22]
99,106.641640701375,10.8023230720007,[22]
100,106.64745675175,10.8018665422157,"[22, 72]"
101,106.654509867813,10.8012683307732,[22]
102,106.661293167725,10.800564645208,"[22, 23]"
103,106.640106356594,10.7931452087205,[71]
104,106.640829346281,10.7955617319695,[71]
105,106.641953996906,10.7989620682386,"[71, 21]"
106,106.647223788406,10.7994185980236,[72]
107,106.648107442469,10.8093991944175,"[72, 73]"
108,106.644862022094,10.8096746792476,[73]
109,106.640210788437,10.8078249953883,[73]
110,106.655048093469,10.8086435788835,[73]
111,106.652196300813,10.7688609665742,"[66, 74, 78, 79]"
112,106.646396366875,10.7652240819695,"[74, 75, 76]"
113,106.651151982375,10.7626971085298,[75]
114,106.6570322985,10.7621460551318,"[75, 78, 89]"
115,106.644853988875,10.7658144963245,[76]
116,106.637583925906,10.7689081984743,[77]
117,106.63563185375,10.7694120054092,[77]
118,106.644942354281,10.7642243136616,"[74, 96]"
