1;10.944083;106.538987
2;10.944083;106.5518401
3;10.944083;106.5646933
4;10.944083;106.5775464
5;10.944083;106.5903996
6;10.944083;106.6032527
7;10.944083;106.6161059
8;10.944083;106.628959
9;10.944083;106.6418122
10;10.944083;106.6546653
11;10.944083;106.6675185
12;10.944083;106.6803716
13;10.944083;106.6932247
14;10.944083;106.7060779
15;10.944083;106.718931
16;10.944083;106.7317842
17;10.944083;106.7446373
18;10.944083;106.7574905
19;10.944083;106.7703436
20;10.944083;106.7831968
21;10.944083;106.7960499
22;10.944083;106.8089031
23;10.944083;106.8217562
24;10.9365197;106.538987
25;10.9365197;106.5518401
26;10.9365197;106.5646933
27;10.9365197;106.5775464
28;10.9365197;106.5903996
29;10.9365197;106.6032527
30;10.9365197;106.6161059
31;10.9365197;106.628959
32;10.9365197;106.6418122
33;10.9365197;106.6546653
34;10.9365197;106.6675185
35;10.9365197;106.6803716
36;10.9365197;106.6932247
37;10.9365197;106.7060779
38;10.9365197;106.718931
39;10.9365197;106.7317842
40;10.9365197;106.7446373
41;10.9365197;106.7574905
42;10.9365197;106.7703436
43;10.9365197;106.7831968
44;10.9365197;106.7960499
45;10.9365197;106.8089031
46;10.9365197;106.8217562
47;10.9289562;106.538987
48;10.9289562;106.5518401
49;10.9289562;106.5646933
50;10.9289562;106.5775464
51;10.9289562;106.5903996
52;10.9289562;106.6032527
53;10.9289562;106.6161059
54;10.9289562;106.628959
55;10.9289562;106.6418122
56;10.9289562;106.6546653
57;10.9289562;106.6675185
58;10.9289562;106.6803716
59;10.9289562;106.6932247
60;10.9289562;106.7060779
61;10.9289562;106.718931
62;10.9289562;106.7317842
63;10.9289562;106.7446373
64;10.9289562;106.7574905
65;10.9289562;106.7703436
66;10.9289562;106.7831968
67;10.9289562;106.7960499
68;10.9289562;106.8089031
69;10.9289562;106.8217562
70;10.9213925;106.538987
71;10.9213925;106.5518401
72;10.9213925;106.5646933
73;10.9213925;106.5775464
74;10.9213925;106.5903996
75;10.9213925;106.6032527
76;10.9213925;106.6161059
77;10.9213925;106.628959
78;10.9213925;106.6418122
79;10.9213925;106.6546653
